127.0.0.1 - - [22/Jan/2021:17:07:59 +0530] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [22/Jan/2021:17:45:53 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:45:57 +0530] "GET /smartDoc/webapi/myresource/getUpcomingAppointments/Cardiologist HTTP/1.1" 200 203
127.0.0.1 - - [22/Jan/2021:17:45:58 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:45:58 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:45:58 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:46:01 +0530] "GET /smartDoc/webapi/myresource/getAppointmentsByUserName/sample123 HTTP/1.1" 200 402
127.0.0.1 - - [22/Jan/2021:17:46:01 +0530] "GET /smartDoc/webapi/myresource/getPatientByUserName/sample123 HTTP/1.1" 200 195
127.0.0.1 - - [22/Jan/2021:17:46:13 +0530] "GET /smartDoc/webapi/myresource/getAppointmentsByUserName/sample123 HTTP/1.1" 200 402
127.0.0.1 - - [22/Jan/2021:17:46:13 +0530] "GET /smartDoc/webapi/myresource/getPatientByUserName/sample123 HTTP/1.1" 200 195
127.0.0.1 - - [22/Jan/2021:17:46:20 +0530] "GET /smartDoc/webapi/myresource/getDoctorByUserName/nikitha@123 HTTP/1.1" 200 196
127.0.0.1 - - [22/Jan/2021:17:46:27 +0530] "GET /smartDoc/webapi/myresource/getAllAppointments/Cardiologist HTTP/1.1" 200 2000
127.0.0.1 - - [22/Jan/2021:17:46:28 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:46:28 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:46:28 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:46:29 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:46:29 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:46:29 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:46:30 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:46:30 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:46:30 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
